airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam
KanadeCoin,5.28E-09,0,0,5.04E-06,4.11E-09,2.17E-05,3.88E-06,-0.000971632,FALSE
Xriba,4.85E-09,0,1.24E-10,3.21E-05,4.11E-09,1.09E-05,4.00E-05,-0.000137293,FALSE
TowerBee,5.14E-08,0,2.12E-08,6.05E-05,1.56E-07,9.78E-05,5.72E-05,-0.000533879,FALSE
MST,0.002504727,0,0.003566042,0.007665643,0.002575291,0.003532417,0.008966145,0.033521256,TRUE
ETHERC,1.47E-07,0,1.80E-06,8.70E-05,1.73E-06,0.00010869,9.74E-05,0.013415096,TRUE
Elepig,2.06E-07,0,4.47E-05,6.27E-05,6.78E-05,0.000282593,3.15E-05,0.51279656,TRUE
DINO,0.000274959,0,0.000223576,0.001042396,0.000345742,0.000663007,0.001156578,-0.089543492,FALSE
LaborCrypto,8.37E-07,0,5.53E-09,0.000120592,7.89E-07,0.000206511,0.000106884,-0.006411995,FALSE
MD Tokens,0,0,0,0,0,0,0,0,FALSE
BitImage,0,0,0,0,0,0,0,0,FALSE
Byteball,4.59E-05,0,6.23E-05,0.002118767,0.000166795,0.001565132,0.002277528,0.001194956,FALSE
GrabAMeal,1.03E-07,0,0,1.33E-05,1.23E-07,3.26E-05,1.16E-05,-0.00723009,FALSE
GLEDOS,7.69E-08,0,0,3.36E-06,8.63E-08,2.17E-05,1.94E-06,-0.021233522,FALSE
CarLive Chain,4.97E-09,0,3.14E-08,6.38E-05,8.22E-09,2.17E-05,8.05E-05,0.000284344,FALSE
WONO,4.61E-08,0,8.54E-09,9.32E-05,7.81E-08,8.70E-05,0.000100583,-0.000392839,FALSE
SelfSell,4.00E-07,0,9.60E-09,9.86E-05,3.37E-07,0.000195642,8.39E-05,-0.003700655,FALSE
Acute Coin,8.78E-10,0,0,1.08E-05,2.38E-07,3.26E-05,7.27E-06,-7.52E-05,FALSE
CryptoFlix,2.62E-08,0,0,2.71E-05,3.70E-08,5.43E-05,3.34E-05,-0.000898338,FALSE
HubToken,3.32E-09,0,0,1.25E-05,4.11E-09,1.09E-05,9.21E-06,-0.00024643,FALSE
ICO Pass,3.64E-08,0,3.33E-10,4.48E-05,3.29E-08,5.43E-05,4.07E-05,-0.000749614,FALSE
Amicorum Live,0,0,0,0,0,0,0,0,FALSE
Global REIT,1.78E-05,0,2.45E-06,0.000730461,1.39E-05,0.000869518,0.000780181,-0.020140351,FALSE
WizeBit,7.34E-06,0,0,8.79E-05,4.11E-06,0.00010869,4.14E-05,-0.077438775,FALSE
Zichain,1.65E-08,0,1.53E-09,9.61E-05,6.99E-08,7.61E-05,7.51E-05,-0.00014781,FALSE
Tradingene,3.40E-07,0,3.68E-10,3.45E-05,2.51E-07,0.000141297,2.52E-05,-0.009123649,FALSE
OkeyDokey,0,0,0,0,0,0,0,0,FALSE
Birdchain,3.21E-06,0,4.77E-07,0.00027516,6.29E-06,0.00042389,0.000243822,-0.009556191,FALSE
FreelancerCoin,0,0,0,0,0,0,0,0,FALSE
Blue Whale,0.00758177,0,0.006820438,0.001143014,0.005029201,0.002478126,0.001148337,-1.83654036,FALSE
GoldMint,3.64E-06,0,2.05E-06,0.000162221,5.60E-06,0.000260855,0.000152449,-0.011709445,FALSE
EvolutionOS,1.89E-05,0,2.85E-06,0.000568614,2.35E-05,0.000912994,0.000382698,-0.027296634,FALSE
Linfinity,8.62E-07,0,1.32E-06,0.000130673,1.56E-06,0.000260855,0.000116821,0.001189856,FALSE
Cortex,0.000130205,0,0.000159169,0.000695366,0.000262194,0.00053258,0.000473829,-0.008074545,FALSE
Crowd for Angels,3.05E-08,0,1.07E-09,4.65E-05,4.52E-08,3.26E-05,5.55E-05,-0.00059295,FALSE
Iconiq Lab,2.98E-07,0,1.82E-07,0.000221771,1.16E-06,0.000391283,0.000213283,-0.000654414,FALSE
Arousal,1.29E-06,0,3.58E-07,9.97E-05,2.33E-06,0.000141297,0.000108096,-0.009427475,FALSE
CGCX,1.11E-05,0,2.14E-07,0.00021169,1.35E-05,0.000543449,0.000177171,-0.047804453,FALSE
WULET,4.67E-06,0,1.58E-07,0.000432154,6.19E-06,0.00084778,0.000482554,-0.009764482,FALSE
Elysian,2.42E-06,0,1.83E-06,0.000169688,2.54E-06,0.000663007,9.60E-05,-0.00541111,FALSE
Coinet,1.81E-06,0,0,2.31E-05,1.93E-07,7.61E-05,1.09E-05,-0.07263563,FALSE
Lancer Network,2.96E-08,0,8.32E-09,4.18E-05,4.11E-08,2.17E-05,3.68E-05,-0.000512133,FALSE
Safe Haven,0.000622979,0,0.000191127,0.000892682,0.000257686,0.001228194,0.000889731,-0.492723759,FALSE
ARAW Token,1.21E-07,0,6.04E-09,0.000221957,3.04E-07,0.000173904,0.000252305,-0.000485762,FALSE
DirectHome,0,0,0,0,0,0,0,0,FALSE
Buzcoin,0,0,0,2.61E-06,0,1.09E-05,2.42E-07,0,FALSE
DICEGAME,9.78E-09,0,2.87E-09,1.70E-05,2.47E-08,2.17E-05,1.53E-05,-0.000412088,FALSE
BeepBeep Nation,0,0,1.51E-07,2.43E-06,2.47E-07,1.09E-05,4.85E-07,0.045088465,TRUE
ABCC Exchange,9.15E-07,0,4.61E-07,0.000136833,1.64E-06,0.000336938,0.000119245,-0.003763056,FALSE
Deconet,3.33E-08,0,0,2.71E-05,8.22E-08,1.09E-05,3.47E-05,-0.001140156,FALSE
DataBlockchain,2.78E-08,0,0,5.49E-05,4.93E-08,6.52E-05,5.28E-05,-0.000469857,FALSE
CarBlock,0,0,0,0,0,0,0,0,FALSE
Bulleon,0,0,0,0,0,0,0,0,FALSE
CoinCrowd,0,0,0,0,0,0,0,0,FALSE
RankingBall,2.43E-06,0,0,7.64E-05,1.58E-06,0.000184773,6.01E-05,-0.029568273,FALSE
Bubbletone,3.83E-07,0,7.92E-08,0.000114245,6.86E-07,0.0003152,0.000102037,-0.002608697,FALSE
MPCX,2.82E-08,0,0,2.41E-05,2.47E-08,3.26E-05,1.91E-05,-0.001087182,FALSE
BlockStorage,0,0,0,0,0,0,0,0,FALSE
XcelToken Plus,0,0,0,2.24E-06,1.23E-08,1.09E-05,1.45E-06,0,FALSE
XCHNG,1.17E-06,0,1.15E-07,0.000675765,1.65E-06,0.000695614,0.000754248,-0.001482734,FALSE
TrustLogics,5.02E-08,0,4.21E-09,0.000194329,8.22E-08,0.000239117,0.000148571,-0.00022387,FALSE
BitRent,6.12E-09,0,0,1.18E-05,8.22E-09,2.17E-05,5.57E-06,-0.000482788,FALSE
