airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam,total,positive_percentage,neutral_percentage,negative_percentage
Hyperliquid,82.97700849,0,5.806451613,267,234,12,199,-0.289028303,FALSE,88.78346011,93.459985,0,6.540015005
Onchain,13302.06639,0,10727.49213,31175,273632,481,18813,-0.082584579,FALSE,24029.55852,55.35709854,0,44.64290146
Syrup,125.4629116,0,18.51274501,2235,7038,57,1662,-0.047852424,FALSE,143.9756567,87.14175338,0,12.85824662
Sender Labs,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Ithaca Protocol,51.84071763,0,6.791778374,547,540,15,277,-0.082356379,FALSE,58.63249601,88.4163581,0,11.5836419
Marginly,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Anichess,18.13912585,0,40.96714544,1120,281,25,739,0.02038216,TRUE,59.10627129,30.68900382,0,69.31099618
Equation,28321.47926,0,19534.74238,12213,400519,158,11054,-0.719457699,FALSE,47856.22163,59.18034958,0,40.81965042
Quantcheck,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Nekodex,541.0060543,0,261.0055988,1512,16609,93,753,-0.185185486,FALSE,802.0116531,67.45613386,0,32.54386614
Solayer,21.80700941,0,0.787401575,1036,73,46,656,-0.020289197,FALSE,22.59441099,96.5150604,0,3.484939596
Fantasy Top,46051.32497,0,5697.07113,5906,199134,117,5321,-6.832755475,FALSE,51748.39609,88.99082569,0,11.00917431
Anzen,103.1666431,0,0,1324,732,11,1223,-0.077920425,FALSE,103.1666431,100,0,0
EVAA Protocol,0,0,0,8,4,1,6,0,FALSE,0,0,0,0
Eigenpie,31.11111111,0,2.592592593,760,133,19,513,-0.037524366,FALSE,33.7037037,92.30769231,0,7.692307692
Oasis AI,321.2797947,0,56.30498534,1559,3979,42,1208,-0.169964599,FALSE,377.5847801,85.08812105,0,14.91187895
Nexo,2323.124539,0,1447.158048,7943,66449,114,6487,-0.110281567,FALSE,3770.282587,61.61672196,0,38.38327804
CEX.IO,4178.917548,0,3923.930857,16613,188980,395,14277,-0.015348624,FALSE,8102.848406,51.57343861,0,48.42656139
Pencils Protocol,0,0,0,117,0,1,105,0,FALSE,0,0,0,0
Plume Network,41.45491639,0,11.05309314,4260,566,81,3627,-0.007136578,FALSE,52.50800952,78.94970075,0,21.05029925
Cryptopia,1799.689114,0,687.4693455,7654,69636,185,6885,-0.145312225,FALSE,2487.15846,72.35924624,0,27.64075376
OpenGPU Network,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Iskra,19413.01042,0,13896.37962,1938,404409,124,1490,-2.846558715,FALSE,33309.39004,58.28089434,0,41.71910566
Lingo,1371.420889,0,3587.869971,5056,40739,111,3998,0.438379961,TRUE,4959.29086,27.65356838,0,72.34643162
Gravita Protocol,5.024729585,0,0.308641975,438,40,8,309,-0.010767323,FALSE,5.333371561,94.21300444,0,5.786995558
Initia,75284.37238,0,23177.91226,121919,800765,1020,108422,-0.427385888,FALSE,98462.28464,76.46011125,0,23.53988875
Token Metrics,4.012735431,0,0.077942323,449,24,9,404,-0.008763459,FALSE,4.090677754,98.09463548,0,1.905364523
Gamium,50.41348466,0,5.257604022,1424,592,46,1061,-0.03171059,FALSE,55.67108868,90.55595257,0,9.444047434
Agora,5454.812163,0,1348.019243,9445,35482,159,6505,-0.43481132,FALSE,6802.831406,80.18443848,0,19.81556152
